sub_category_id,sub_category_name,belongs_to_categories
171,Heater Control Valve and Related Components,HVAC
173,Heater Switches and Electrical Components,Body;HVAC
174,"Hoist, Lift and Support","Body;Multifunction Terms;Vehicles, Equipment, Tools, and Supplies"
175,Hood,"Air and Fuel Delivery;Body;Electrical, Lighting and Body"
177,Hoses and Pipes,"Air and Fuel Delivery;Belts and Cooling;Body;Brake;Driveline and Axles;Electrical, Charging and Starting;Electrical, Lighting and Body;Emission Control;Engine;Exhaust;HVAC;Hardware and Service Supplies;Plumbing;Steering;Suspension;Tire and Wheel;Transmission;Vehicles, Equipment, Tools, and Supplies"
178,Instrument Panel,"Air and Fuel Delivery;Body;Electrical, Lighting and Body;Emission Control;Engine;Entertainment and Telematics;HVAC;Suspension;Transmission;Vehicles, Equipment, Tools, and Supplies"
179,Interior,"Body;Electrical, Lighting and Body;Entertainment and Telematics;HVAC"
180,Lighting - Exterior,"Accessories;Body;Electrical, Charging and Starting;Electrical, Lighting and Body;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
181,Lighting - Instrumentation,"Brake;Driveline and Axles;Electrical, Lighting and Body;HVAC;Suspension;Transmission;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
182,Lighting - Interior,"Accessories;Body;Electrical, Lighting and Body"
183,Manual Transmission Components,Transmission
184,Mirrors,Body
185,Mobile Multi-Media,"Electrical, Charging and Starting;Electrical, Lighting and Body;Entertainment and Telematics;Vehicles, Equipment, Tools, and Supplies"
186,Motors,"Body;Electrical, Lighting and Body;Engine;HVAC;Multifunction Terms;Steering;Transfer Case;Wiper and Washer"
187,Mufflers,Exhaust
188,Power Outlets,"Electrical, Lighting and Body"
189,"Power Steering Hoses, Pumps, and Related Components","Steering;Vehicles, Equipment, Tools, and Supplies"
190,Primary Ignition,"Ignition;Vehicles, Equipment, Tools, and Supplies"
191,Power Take Off (PTO) and Components,Driveline and Axles
192,Quarter Panel,Body
193,"Radiators, Coolers and Related Components",Air and Fuel Delivery;Belts and Cooling;HVAC;Transmission
194,Rear Body,"Body;Electrical, Lighting and Body"
195,Relays,"Air and Fuel Delivery;Belts and Cooling;Body;Brake;Driveline and Axles;Electrical, Charging and Starting;Electrical, Lighting and Body;Emission Control;Engine;Entertainment and Telematics;Exhaust;HVAC;Ignition;Steering;Suspension;Transfer Case;Transmission;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
196,Resistors,"Brake;Electrical, Lighting and Body;HVAC;Transmission;Vehicles, Equipment, Tools, and Supplies"
197,Rocker Panel,Body
198,Roof,"Body;Vehicles, Equipment, Tools, and Supplies"
199,Seats,Body;Brake;HVAC;Hardware and Service Supplies
200,Secondary Ignition,Ignition
201,Sending Units,Belts and Cooling;Engine
202,Sensors,"Air and Fuel Delivery;Belts and Cooling;Body;Brake;Driveline and Axles;Electrical, Charging and Starting;Electrical, Lighting and Body;Emission Control;Engine;Entertainment and Telematics;Exhaust;HVAC;Ignition;Steering;Suspension;Tire and Wheel;Transfer Case;Transmission;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
203,Shocks and Struts,"Body;Suspension;Vehicles, Equipment, Tools, and Supplies"
204,Side Pillar,Body
205,Spare Tire and Wheel,Body;Tire and Wheel
206,Starter and Related Components,"Electrical, Charging and Starting;Engine;HVAC"
207,Steering Column,"Electrical, Lighting and Body;Steering;Vehicles, Equipment, Tools, and Supplies"
208,Steering Wheel,"Body;Electrical, Lighting and Body;Transmission"
210,"Suspension, Springs and Related Components","Body;Driveline and Axles;Steering;Suspension;Vehicles, Equipment, Tools, and Supplies"
211,"Switches, Solenoids and Actuators","Accessories;Air and Fuel Delivery;Belts and Cooling;Body;Brake;Driveline and Axles;Electrical, Charging and Starting;Electrical, Lighting and Body;Emission Control;Engine;Entertainment and Telematics;Exhaust;HVAC;Hardware and Service Supplies;Ignition;Multifunction Terms;Steering;Suspension;Tire and Wheel;Transfer Case;Transmission;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
212,Tailgate and Midgate,Body
214,Tire,"Tire and Wheel;Vehicles, Equipment, Tools, and Supplies"
215,Towing,"Body;Electrical, Lighting and Body;Vehicles, Equipment, Tools, and Supplies"
216,Transmission Bands,Transmission
217,Transmission Bushings,Transmission
219,Transmission Hard Parts,Body;Transmission
220,Transmission Valve Body,Transmission
221,Transfer Case Components,"Driveline and Axles;Transfer Case;Transmission;Vehicles, Equipment, Tools, and Supplies"
222,Truck Box,Body
223,Truck Cab,Body
224,Trunk Lid and Compartment,"Body;Electrical, Lighting and Body"
225,"Turbocharger, Supercharger and Ram Air",Air and Fuel Delivery;Belts and Cooling
226,Vacuum System,Air and Fuel Delivery;Emission Control;Engine;Hardware and Service Supplies
227,Valve Train Components,"Engine;HVAC;Vehicles, Equipment, Tools, and Supplies"
228,Valves,"Air and Fuel Delivery;Body;Brake;Driveline and Axles;Electrical, Lighting and Body;Engine;HVAC;Hardware and Service Supplies;Plumbing;Steering;Suspension;Transfer Case;Transmission"
229,Voltage Regulator,"Electrical, Charging and Starting"
230,Warning Buzzers,"Air and Fuel Delivery;Body;Brake;Driveline and Axles;Electrical, Lighting and Body;Emission Control;Engine;Entertainment and Telematics"
231,Water Pump and Related Components,"Belts and Cooling;Electrical, Charging and Starting;HVAC;Vehicles, Equipment, Tools, and Supplies"
233,Wheel,"Accessories;Driveline and Axles;Tire and Wheel;Vehicles, Equipment, Tools, and Supplies"
234,"Wheel Bearings, Seals, and Related Components",Driveline and Axles
235,Windshield Washer and Related Components,"Body;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
236,"Wiper Arm, Blade, and Related Components",Body;Wiper and Washer
238,Wiper and Washer Sensors,Wiper and Washer
240,"Wire, Cable and Related Components","Air and Fuel Delivery;Belts and Cooling;Body;Brake;Driveline and Axles;Electrical, Charging and Starting;Electrical, Lighting and Body;Emission Control;Engine;Entertainment and Telematics;Exhaust;HVAC;Hardware and Service Supplies;Ignition;Steering;Suspension;Tire and Wheel;Transfer Case;Transmission;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
243,Tubing,Hardware and Service Supplies
244,Ignition Wire and Related Components,Ignition
246,"Hardware, Fasteners and Fittings","Accessories;Air and Fuel Delivery;Belts and Cooling;Body;Brake;Driveline and Axles;Electrical, Charging and Starting;Electrical, Lighting and Body;Emission Control;Engine;Entertainment and Telematics;Exhaust;HVAC;Hardware and Service Supplies;Household, Shop and Office Products;Ignition;Multifunction Terms;Plumbing;Steering;Suspension;Tire and Wheel;Transfer Case;Transmission;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
247,Automatic Transmission Components,Transmission
248,Brake System Service,"Brake;Vehicles, Equipment, Tools, and Supplies"
249,"Shop Equipment, Tools and Accessories","Accessories;Hardware and Service Supplies;Tire and Wheel;Vehicles, Equipment, Tools, and Supplies"
250,Books and Manuals,"Household, Shop and Office Products"
251,Decals and Emblems,"Accessories;Body;Electrical, Charging and Starting;Electrical, Lighting and Body;Transfer Case"
252,Hatch,Body
253,Vacuum Power System,Body;HVAC
254,CV Components,"Driveline and Axles;Vehicles, Equipment, Tools, and Supplies"
